,Unnamed: 0,Unnamed: 0.1,RegionName,State,Date,Price,Housing Inventory,UnemploymentRate,cases,deaths,cases_rate,death_rate,fully_vaccinated,fully_vaccinated_rate,inventory_price_increased,inventory_price_decreased,median_days_on_market,Population,Area,GDP,GDP_pp,Population_Density,Violent_Crimes,Violent_Crimes_pp,Property_Crime,Property_Crimes_pp,Revenue_pp,Expenditures_pp,Hospital,Hospital_pp,School,School_pp,Public_School,Public_School_pp,Private_School,Private_School_pp,latitude,longitude,x_dist,y_dist
0,0,0,Los Angeles County,CA,2020-02,652904,9084,4.3,105.0,0.0,1.0236355498682578e-05,0.0,0,0.0,432,1740,38,9829544,"4,060","662,418,536",67.39056624,"2,457.90","42,725",4.3,"217,493",21.8,33864,33230,131,1.33e-05,3232,0.000328805,2283,0.000232259,949,9.65e-05,34.0522265,-118.2436596,2841.630363614631,148.23254839934924
1,1,1,San Diego County,CA,2020-02,611465,4092,3.2,16.0,0.0,4.747185660650993e-06,0.0,0,0.0,244,1040,36,3286069,"4,204","203,932,550",62.05972851,756.7,"10,585",3.3,"59,050",18.6,22016,21083,37,1.13e-05,1058,0.000321965,789,0.000240105,269,8.19e-05,32.7157305,-117.1610966,2741.1773351781135,0.0
2,2,2,Orange County,CA,2020-02,755993,3975,2.8,56.0,0.0,1.734541441447301e-05,0.0,0,0.0,196,988,41,3167809,948,"220,075,102",69.4723394,"3,903.60","6,257",2.0,"54,754",17.7,20776,20309,41,1.29e-05,959,0.000302733,642,0.000202664,317,0.000100069,33.7174708,-117.8311428,2803.3613340096917,111.10134270368917
3,3,3,Riverside County,CA,2020-02,402564,6674,4.0,15.0,0.0,6.077438724224064e-06,0.0,0,0.0,300,1804,55,2458395,"7,208","75,327,830",30.64106053,314.6,"6,260",2.8,"61,434",27.1,27929,28072,24,9.76e-06,697,0.000283518,538,0.000218842,159,6.47e-05,33.9532966,-117.3961192,2762.992090010958,137.25900290052763
4,4,4,San Bernardino County,CA,2020-02,363191,5078,3.7,23.0,1.0,1.0372517698672048e-05,4.509790303770457e-07,0,0.0,260,1164,64,2194710,"20,062","78,146,465",35.60673848,103.6,"8,281",4.0,"54,778",26.4,29477,27905,32,1.46e-05,740,0.000337174,587,0.000267461,153,6.97e-05,34.9592083,-116.419389,2672.3088151510783,248.84545588943442
5,5,5,Santa Clara County,CA,2020-02,1261482,857,2.5,74.0,2.0,3.760955689334896e-05,1.0164745106310529e-06,0,0.0,24,136,22,1885508,"1,291","282,946,368",150.0637324,"1,427.30","4,676",2.5,"43,084",23.4,39774,38937,17,9.02e-06,631,0.000334658,426,0.000225934,205,0.000108724,37.3336581,-121.8907041,3179.4447585627577,512.3186021105837
6,6,6,Alameda County,CA,2020-02,905899,1077,2.9,16.0,0.0,9.49055867359952e-06,0.0,0,0.0,44,168,18,1648556,738,119117078,72.25540291,2109.8,10356,6.6,57620,37.0,27341,26306,27,1.64e-05,562,0.000340904,401,0.000243243,161,9.77e-05,37.6016892,-121.7195459,3163.612809522244,542.066416629334
7,7,7,Sacramento County,CA,2020-02,396550,1360,3.7,16.0,0.0,1.0204244327875126e-05,0.0,0,0.0,116,436,28,1588921,966,"77,961,074",49.06541861,"1,503.00","7,452",5.1,"40,246",27.8,33750,33214,19,1.2e-05,511,0.000321602,398,0.000250484,113,7.11e-05,38.47467,-121.3541631,3129.807814234712,638.9648451122517
8,8,8,Contra Costa County,CA,2020-02,700886,1133,3.1,20.0,0.0,1.7239907973371242e-05,0.0,0,0.0,72,260,18,1161413,720,"71,878,033",61.88843504,"1,496.00","3,650",3.4,"32,232",29.8,38948,37226,12,1.03e-05,394,0.000339242,289,0.000248835,105,9.04e-05,37.8534093,-121.9017954,3180.470614251112,570.0051647719922
9,9,9,Fresno County,CA,2020-02,272100,1315,8.4,0.0,0.0,0.0,0.0,0,0.0,68,372,43,1013581,"5,963","39,921,581",39.38667063,159.2,"4,547",4.8,"32,535",34.3,26135,25200,15,1.48e-05,421,0.000415359,367,0.000362083,54,5.33e-05,36.9858984,-119.2320784,2933.2784760347017,473.72400798323304
