,Date,County,inventory_price_increased,inventory_price_decreased,median_days_on_market,demand_score,ldp_unique_viewers_per_property_vs_us
0,2021-12,Modoc County,0.0,0.0,77.0,,
1,2021-12,Ventura County,40.0,64.0,42.0,72.4159797083069,1.2673
2,2021-12,Riverside County,256.0,572.0,42.0,13.316423589093215,0.595
3,2021-12,Kern County,76.0,200.0,40.0,29.042485732403296,0.776
4,2021-12,Contra Costa County,32.0,80.0,38.0,61.69942929613189,1.121
5,2021-12,Alameda County,32.0,68.0,40.0,31.38871274571972,0.8013
6,2021-12,Merced County,8.0,52.0,51.0,22.2574508560558,0.6973
7,2021-12,Santa Clara County,44.0,52.0,38.0,31.0716550412175,0.7961
8,2021-12,Calaveras County,4.0,48.0,66.0,41.02726696258719,0.9017
9,2021-12,Butte County,4.0,60.0,57.0,39.44197844007609,0.8886
10,2021-12,San Joaquin County,60.0,76.0,45.0,44.89537095751427,0.9455
11,2021-12,San Bernardino County,236.0,476.0,45.0,7.228915662650602,0.4879
12,2021-12,Imperial County,4.0,12.0,51.0,59.099556119213695,1.0999
13,2021-12,San Francisco County,4.0,64.0,62.0,4.502219403931516,0.4163
14,2021-12,Alpine County,0.0,0.0,201.0,,
15,2021-12,Sonoma County,8.0,56.0,62.0,46.98795180722892,0.9685
16,2021-12,Humboldt County,0.0,28.0,62.0,57.13379835129994,1.0745
17,2021-12,Colusa County,0.0,4.0,62.0,,
18,2021-12,Fresno County,64.0,140.0,36.0,39.06150919467344,0.8853
19,2021-12,Napa County,0.0,24.0,78.0,43.5003170577045,0.9314
20,2021-12,Del Norte County,0.0,12.0,72.0,,
21,2021-12,Orange County,132.0,204.0,40.0,44.19784400760938,0.9403
22,2021-12,Nevada County,4.0,40.0,69.0,29.61318960050729,0.7818
23,2021-12,Sierra County,0.0,0.0,164.0,,
24,2021-12,Los Angeles County,452.0,980.0,47.0,11.160431198478122,0.5587
25,2021-12,Plumas County,0.0,8.0,101.0,,
26,2021-12,Tuolumne County,0.0,36.0,73.0,36.90551680405834,0.8661
27,2021-12,Siskiyou County,0.0,24.0,75.0,17.43817374762207,0.6484
28,2021-12,Stanislaus County,28.0,96.0,42.0,45.71972098922004,0.9562
29,2021-12,Monterey County,4.0,28.0,54.0,86.74698795180723,1.5883
30,2021-12,Santa Cruz County,0.0,16.0,47.0,88.90298034242232,1.6612
31,2021-12,Inyo County,0.0,0.0,67.0,,
32,2021-12,Amador County,0.0,16.0,70.0,75.77679137603045,1.3239
33,2021-12,Sutter County,0.0,8.0,46.0,94.92707672796448,1.9944
34,2021-12,Lake County,8.0,60.0,78.0,3.804692454026633,0.3934
35,2021-12,Solano County,28.0,60.0,37.0,61.88966391883323,1.1234
36,2021-12,Santa Barbara County,4.0,56.0,44.0,84.33734939759037,1.5128
37,2021-12,El Dorado County,4.0,68.0,54.0,68.10399492707673,1.2145
38,2021-12,Mariposa County,0.0,4.0,83.0,,
39,2021-12,San Mateo County,8.0,32.0,48.0,31.83259353202283,0.8066
40,2021-12,Lassen County,0.0,24.0,86.0,,
41,2021-12,Madera County,4.0,28.0,55.0,31.769181991122387,0.8054
42,2021-12,San Diego County,252.0,320.0,36.0,33.481293595434366,0.8238
43,2021-12,Tehama County,8.0,40.0,57.0,24.47685478757134,0.7251
44,2021-12,Yuba County,8.0,20.0,52.0,64.48953709575143,1.1687
45,2021-12,Shasta County,8.0,100.0,50.0,11.09701965757768,0.5582
46,2021-12,Tulare County,24.0,56.0,45.0,66.89917564996829,1.1994
47,2021-12,Sacramento County,84.0,224.0,38.0,45.275840202916925,0.9541
48,2021-12,Glenn County,0.0,4.0,44.0,,
49,2021-12,Placer County,20.0,100.0,42.0,70.70386810399492,1.2424
50,2021-12,Mendocino County,0.0,24.0,81.0,19.08687381103361,0.6661
51,2021-12,Marin County,4.0,28.0,50.0,72.73303741280913,1.275
52,2021-12,Kings County,4.0,36.0,44.0,75.26949904882689,1.3198
53,2021-12,Yolo County,4.0,16.0,43.0,82.87888395688016,1.469
54,2021-12,Trinity County,0.0,12.0,104.0,,
55,2021-12,Mono County,0.0,4.0,68.0,,
56,2021-12,San Benito County,0.0,8.0,49.0,70.76727964489538,1.2428
57,2021-12,San Luis Obispo County,16.0,28.0,49.0,85.35193405199747,1.5422
58,2021-11,Calaveras County,0.0,96.0,51.0,31.57894736842105,0.8053
59,2021-11,Madera County,16.0,72.0,46.0,24.98414711477489,0.7257
60,2021-11,Mono County,0.0,0.0,57.0,,
61,2021-11,San Bernardino County,268.0,708.0,41.0,6.594800253646163,0.4675
62,2021-11,San Diego County,304.0,572.0,33.0,22.89156626506024,0.7055
63,2021-11,Monterey County,8.0,68.0,46.0,77.1718452758402,1.3676
64,2021-11,Yuba County,0.0,40.0,47.0,53.709575142675966,1.0376
65,2021-11,Alpine County,0.0,0.0,173.0,,
66,2021-11,Inyo County,0.0,0.0,45.0,,
67,2021-11,Sonoma County,20.0,132.0,52.0,27.964489537095748,0.7645
68,2021-11,Modoc County,0.0,0.0,67.0,,
69,2021-11,Mariposa County,0.0,8.0,81.0,,
70,2021-11,Solano County,36.0,108.0,31.0,42.16867469879519,0.9207
71,2021-11,Santa Barbara County,12.0,108.0,35.0,83.89346861128726,1.535
72,2021-11,San Francisco County,16.0,152.0,46.0,2.599873176918199,0.341
73,2021-11,Alameda County,80.0,188.0,36.0,16.233354470513632,0.6331
74,2021-11,Merced County,16.0,40.0,43.0,25.301204819277107,0.7292
75,2021-11,San Joaquin County,44.0,184.0,39.0,28.979074191502853,0.7729
76,2021-11,Tulare County,24.0,100.0,42.0,57.0703868103995,1.0779
77,2021-11,Santa Cruz County,0.0,32.0,42.0,73.62079898541535,1.2971
78,2021-11,Riverside County,272.0,856.0,36.0,10.336081166772352,0.542
79,2021-11,San Luis Obispo County,4.0,76.0,45.0,76.98161065313887,1.3629
80,2021-11,Napa County,0.0,24.0,65.0,26.63284717818643,0.7491
81,2021-11,Stanislaus County,20.0,172.0,37.0,33.6715282181357,0.8215
82,2021-11,Sutter County,0.0,24.0,35.0,92.26379201014583,1.8344
83,2021-11,Kern County,56.0,308.0,38.0,20.355104629042486,0.6822
84,2021-11,Sacramento County,108.0,432.0,33.0,32.78376664552949,0.813
85,2021-11,Amador County,0.0,28.0,50.0,60.30437539632213,1.1154
86,2021-11,Marin County,4.0,40.0,42.0,47.305009511731136,0.9722
87,2021-11,Yolo County,12.0,28.0,40.0,68.67469879518072,1.233
88,2021-11,El Dorado County,4.0,192.0,42.0,43.43690551680406,0.9358
89,2021-11,Del Norte County,0.0,12.0,71.0,,
90,2021-11,Los Angeles County,492.0,1584.0,41.0,6.8484464172479385,0.4738
91,2021-11,Tehama County,4.0,60.0,49.0,30.37412809131262,0.7879
92,2021-11,Orange County,192.0,348.0,36.0,29.105897273303743,0.775
93,2021-11,Fresno County,44.0,188.0,31.0,37.79327837666455,0.8747
94,2021-11,San Mateo County,12.0,84.0,39.0,16.550412175015854,0.6389
95,2021-11,Sierra County,0.0,4.0,137.0,,
96,2021-11,Nevada County,4.0,96.0,53.0,20.038046924540268,0.6783
97,2021-11,Shasta County,4.0,152.0,46.0,8.623969562460369,0.507
98,2021-11,Tuolumne County,8.0,68.0,59.0,24.603677869372227,0.7244
99,2021-11,Siskiyou County,4.0,44.0,66.0,16.29676601141408,0.6336
100,2021-11,Lake County,4.0,88.0,68.0,3.424223208623969,0.3648
101,2021-11,Imperial County,4.0,8.0,43.0,47.49524413443247,0.9762
102,2021-11,Santa Clara County,48.0,104.0,36.0,17.057704502219405,0.6438
103,2021-11,Mendocino County,8.0,44.0,65.0,20.41851616994293,0.6823
104,2021-11,Trinity County,0.0,4.0,102.0,,
105,2021-11,Placer County,20.0,216.0,36.0,57.831325301204814,1.085
106,2021-11,Butte County,4.0,104.0,49.0,31.51553582752061,0.8051
107,2021-11,San Benito County,0.0,16.0,40.0,41.53455928979074,0.9124
108,2021-11,Kings County,12.0,44.0,42.0,76.22067216233354,1.3512
109,2021-11,Lassen County,0.0,16.0,98.0,,
110,2021-11,Glenn County,0.0,16.0,61.0,,
111,2021-11,Colusa County,0.0,4.0,48.0,,
112,2021-11,Plumas County,0.0,20.0,85.0,,
113,2021-11,Humboldt County,0.0,40.0,46.0,59.670259987317685,1.1077
114,2021-11,Contra Costa County,52.0,220.0,33.0,36.52504755865568,0.8629
115,2021-11,Ventura County,28.0,160.0,38.0,60.74825618262524,1.1178
116,2021-10,Colusa County,0.0,4.0,40.0,,
117,2021-10,Riverside County,336.0,1064.0,35.0,10.082435003170575,0.527
118,2021-10,Modoc County,0.0,8.0,59.0,,
119,2021-10,Humboldt County,4.0,40.0,31.0,65.31388712745719,1.1846
120,2021-10,San Francisco County,20.0,252.0,35.0,1.9023462270133165,0.3124
121,2021-10,San Luis Obispo County,4.0,80.0,43.0,77.1718452758402,1.3657
122,2021-10,Sierra County,0.0,4.0,113.0,,
123,2021-10,Kings County,12.0,80.0,36.0,78.69372225745086,1.3994
124,2021-10,Siskiyou County,0.0,40.0,64.0,18.76981610653139,0.655
125,2021-10,Yuba County,12.0,40.0,42.0,53.58275206087508,1.0441
126,2021-10,Tehama County,4.0,56.0,49.0,24.730500951173116,0.7188
127,2021-10,Amador County,4.0,52.0,45.0,46.6708941027267,0.9636
128,2021-10,Del Norte County,0.0,16.0,66.0,,
129,2021-10,Placer County,24.0,256.0,34.0,45.46607482561826,0.9504
130,2021-10,Tulare County,36.0,144.0,42.0,52.56816740646798,1.0307
131,2021-10,Santa Cruz County,4.0,44.0,41.0,69.68928344958782,1.2506
132,2021-10,Mono County,0.0,16.0,56.0,,
133,2021-10,San Bernardino County,288.0,900.0,36.0,5.3265694356372855,0.4317
134,2021-10,Marin County,12.0,80.0,34.0,38.17374762206722,0.8705
135,2021-10,San Diego County,324.0,772.0,32.0,15.66265060240964,0.6103
136,2021-10,Santa Barbara County,24.0,72.0,36.0,82.56182625237794,1.4908
137,2021-10,Madera County,16.0,96.0,44.0,24.41344324667089,0.716
138,2021-10,Solano County,36.0,168.0,24.0,34.93975903614458,0.8334
139,2021-10,Merced County,12.0,84.0,38.0,23.589093214965125,0.7107
140,2021-10,Alpine County,0.0,8.0,127.0,,
141,2021-10,Kern County,96.0,388.0,31.0,16.67723525681674,0.6289
142,2021-10,San Mateo County,16.0,136.0,33.0,12.555485098287887,0.5734
143,2021-10,Plumas County,0.0,40.0,90.0,,
144,2021-10,Mendocino County,0.0,60.0,57.0,20.164870006341157,0.6749
145,2021-10,Butte County,4.0,148.0,44.0,23.906150919467343,0.7132
146,2021-10,San Joaquin County,60.0,292.0,34.0,22.38427393785669,0.7008
147,2021-10,Lake County,12.0,116.0,56.0,3.551046290424857,0.367
148,2021-10,Yolo County,4.0,56.0,31.0,61.25554850982879,1.1372
149,2021-10,Sacramento County,96.0,536.0,30.0,24.98414711477489,0.7211
150,2021-10,Trinity County,0.0,16.0,97.0,,
151,2021-10,Sonoma County,36.0,184.0,43.0,18.389346861128725,0.6497
152,2021-10,Los Angeles County,536.0,1980.0,36.0,6.53138871274572,0.465
153,2021-10,Orange County,200.0,540.0,35.0,21.55992390615092,0.6948
154,2021-10,Monterey County,12.0,76.0,43.0,66.39188332276474,1.2092
155,2021-10,Nevada County,4.0,128.0,45.0,14.267596702599874,0.5903
156,2021-10,Calaveras County,0.0,112.0,45.0,27.964489537095748,0.7541
157,2021-10,Glenn County,0.0,12.0,52.0,,
158,2021-10,Santa Clara County,56.0,232.0,32.0,7.609384908053266,0.4879
159,2021-10,El Dorado County,16.0,228.0,40.0,37.60304375396322,0.8624
160,2021-10,Ventura County,40.0,220.0,36.0,49.08053265694357,0.9909
161,2021-10,Sutter County,4.0,40.0,35.0,85.60558021559925,1.5719
162,2021-10,Fresno County,52.0,272.0,29.0,33.60811667723526,0.8164
163,2021-10,San Benito County,4.0,28.0,36.0,35.63728598604946,0.8381
164,2021-10,Napa County,0.0,72.0,59.0,17.121116043119848,0.6325
165,2021-10,Lassen County,4.0,36.0,105.0,,
166,2021-10,Inyo County,0.0,0.0,18.0,,
167,2021-10,Tuolumne County,0.0,100.0,51.0,22.2574508560558,0.6996
