,RegionName,State_x,Date,Price,Housing Inventory,UnemploymentRate,cases,cases_rate,deaths,death_rate,fully_vaccinated,fully_vaccinated_rate,Population,Area,GDP,GDPpp
0,Los Angeles County,CA,2020-02,652904.0,9084.0,4.3,105.0,1.0236355498682578e-05,0.0,0.0,0.0,0.0,9829544,4060,662418536,67.39056624
1,San Diego County,CA,2020-02,611465.0,4092.0,3.2,16.0,4.747185660650993e-06,0.0,0.0,0.0,0.0,3286069,4204,203932550,62.05972851
2,Orange County,CA,2020-02,755993.0,3975.0,2.8,56.0,1.734541441447301e-05,0.0,0.0,0.0,0.0,3167809,948,220075102,69.4723394
3,Riverside County,CA,2020-02,402564.0,6674.0,4.0,15.0,6.077438724224064e-06,0.0,0.0,0.0,0.0,2458395,7208,75327830,30.64106053
4,San Bernardino County,CA,2020-02,363191.0,5078.0,3.7,23.0,1.0372517698672048e-05,1.0,4.5097903037704566e-07,0.0,0.0,2194710,20062,78146465,35.60673848
5,Santa Clara County,CA,2020-02,1261482.0,857.0,2.5,74.0,3.760955689334896e-05,2.0,1.0164745106310529e-06,0.0,0.0,1885508,1291,282946368,150.0637324
6,Alameda County,CA,2020-02,905899.0,1077.0,2.9,16.0,9.49055867359952e-06,0.0,0.0,0.0,0.0,1648556,738,119117078,72.25540291
7,Sacramento County,CA,2020-02,396550.0,1360.0,3.7,16.0,1.0204244327875126e-05,0.0,0.0,0.0,0.0,1588921,966,77961074,49.06541861
8,Contra Costa County,CA,2020-02,700886.0,1133.0,3.1,20.0,1.7239907973371242e-05,0.0,0.0,0.0,0.0,1161413,720,71878033,61.88843504
9,Fresno County,CA,2020-02,272100.0,1315.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,1013581,5963,39921581,39.38667063
10,Kern County,CA,2020-02,234253.0,1760.0,9.1,2.0,2.156913284536765e-06,0.0,0.0,0.0,0.0,917673,8142,46781960,50.97889989
11,Ventura County,CA,2020-02,625786.0,1236.0,3.7,6.0,7.036084559664238e-06,0.0,0.0,0.0,0.0,839784,1846,46470387,55.33611857
12,San Francisco County,CA,2020-02,1453974.0,578.0,2.2,12.0,1.3448693235307304e-05,0.0,0.0,0.0,0.0,815201,47,155258114,190.4537826
13,San Mateo County,CA,2020-02,1421468.0,456.0,2.1,29.0,3.7275016356020106e-05,0.0,0.0,0.0,0.0,737888,449,113829269,154.2636132
14,San Joaquin County,CA,2020-02,382448.0,990.0,6.5,6.0,7.667290698937442e-06,0.0,0.0,0.0,0.0,789410,1399,26787016,33.93295753
15,Stanislaus County,CA,2020-02,334416.0,574.0,6.5,2.0,3.556801226385063e-06,0.0,0.0,0.0,0.0,552999,1495,20632799,37.31073474
16,Sonoma County,CA,2020-02,659678.0,735.0,2.8,6.0,1.2080504481867164e-05,0.0,0.0,0.0,0.0,485887,1576,26325465,54.18022092
17,Tulare County,CA,2020-02,230552.0,784.0,11.3,4.0,8.257246249661969e-06,0.0,0.0,0.0,0.0,477054,4824,16847054,35.31477359
18,Santa Barbara County,CA,2020-02,652899.0,943.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,446475,2738,25885092,57.97657652
19,Monterey County,CA,2020-02,608364.0,572.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,437325,3322,25122789,57.44649631
20,Solano County,CA,2020-02,452992.0,462.0,3.9,18.0,4.051727048654489e-05,0.0,0.0,0.0,0.0,451716,828,20899701,46.26734718
21,Placer County,CA,2020-02,526336.0,836.0,3.1,7.0,1.7481033079109165e-05,0.0,0.0,0.0,0.0,412300,1407,19894372,48.2521756
22,San Luis Obispo County,CA,2020-02,639795.0,783.0,3.0,2.0,7.172006225301403e-06,0.0,0.0,0.0,0.0,283159,3304,15449070,54.55969967
23,Santa Cruz County,CA,2020-02,873187.0,288.0,6.4,8.0,2.91971868510469e-05,0.0,0.0,0.0,0.0,267792,446,12786326,47.74722919
24,Merced County,CA,2020-02,283926.0,605.0,10.2,1.0,3.479229002852968e-06,0.0,0.0,0.0,0.0,286461,1929,9012107,31.46015339
25,Marin County,CA,2020-02,1194038.0,248.0,2.4,4.0,1.5337423312883436e-05,0.0,0.0,0.0,0.0,260206,520,22815861,87.68383896
26,Butte County,CA,2020-02,336800.0,381.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,208309,1640,8434322,40.48947477
27,Yolo County,CA,2020-02,477171.0,250.0,4.8,2.0,8.944063824839454e-06,0.0,0.0,0.0,0.0,216986,1012,13013233,59.97268487
28,El Dorado County,CA,2020-02,472754.0,748.0,3.6,1.0,5.178717542387803e-06,0.0,0.0,0.0,0.0,193221,1712,7238157,37.46050895
29,Shasta County,CA,2020-02,283116.0,545.0,5.4,2.0,1.1240691302515104e-05,0.0,0.0,0.0,0.0,182139,3786,7437919,40.8364985
30,Imperial County,CA,2020-02,225748.0,146.0,18.1,3.0,1.5653616768154284e-05,0.0,0.0,0.0,0.0,179851,4175,8155429,45.34547487
31,Kings County,CA,2020-02,239459.0,251.0,9.8,3.0,1.917619084145125e-05,0.0,0.0,0.0,0.0,153443,1390,5924008,38.60722223
32,Madera County,CA,2020-02,291987.0,635.0,7.9,2.0,1.2493050740525583e-05,0.0,0.0,0.0,0.0,159410,2138,6012170,37.71513707
33,Napa County,CA,2020-02,691980.0,296.0,3.2,1.0,7.160656488986911e-06,0.0,0.0,0.0,0.0,136207,754,9870652,72.46802294
34,Humboldt County,CA,2020-02,328400.0,270.0,3.8,1.0,7.457232770063685e-06,0.0,0.0,0.0,0.0,136310,3573,4986467,36.58181351
35,Nevada County,CA,2020-02,478372.0,697.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,103487,958,3940019,38.07259849
