,RegionName,State_x,Date,Price,Housing Inventory,UnemploymentRate,cases,deaths,cases_rate,death_rate,fully_vaccinated,fully_vaccinated_rate
0,Los Angeles County,CA,2018-01,607070.0,9337.0,4.9,,,,,,
1,San Diego County,CA,2018-01,574762.0,4367.0,3.7,,,,,,
2,Orange County,CA,2018-01,722234.0,3839.0,3.3,,,,,,
3,Riverside County,CA,2018-01,366823.0,7581.0,4.8,,,,,,
4,San Bernardino County,CA,2018-01,330742.0,5844.0,4.5,,,,,,
5,Santa Clara County,CA,2018-01,1247324.0,502.0,3.0,,,,,,
6,Alameda County,CA,2018-01,857716.0,676.0,3.4,,,,,,
7,Sacramento County,CA,2018-01,359702.0,1770.0,4.4,,,,,,
8,Contra Costa County,CA,2018-01,680145.0,924.0,3.6,,,,,,
9,Fresno County,CA,2018-01,246716.0,1353.0,8.9,,,,,,
10,Kern County,CA,2018-01,212024.0,2289.0,9.4,,,,,,
11,Ventura County,CA,2018-01,596750.0,1187.0,4.4,,,,,,
12,San Francisco County,CA,2018-01,1329100.0,372.0,2.8,,,,,,
13,San Mateo County,CA,2018-01,1369522.0,278.0,2.6,,,,,,
14,San Joaquin County,CA,2018-01,345657.0,901.0,7.2,,,,,,
15,Stanislaus County,CA,2018-01,300203.0,664.0,7.5,,,,,,
16,Sonoma County,CA,2018-01,641325.0,412.0,3.3,,,,,,
17,Tulare County,CA,2018-01,208616.0,940.0,11.4,,,,,,
18,Santa Barbara County,CA,2018-01,613455.0,1045.0,5.3,,,,,,
19,Monterey County,CA,2018-01,554653.0,590.0,9.9,,,,,,
20,Solano County,CA,2018-01,426237.0,427.0,4.6,,,,,,
21,Placer County,CA,2018-01,482725.0,888.0,3.6,,,,,,
22,San Luis Obispo County,CA,2018-01,612460.0,825.0,3.5,,,,,,
23,Santa Cruz County,CA,2018-01,843046.0,238.0,6.4,,,,,,
24,Merced County,CA,2018-01,254486.0,676.0,10.3,,,,,,
25,Marin County,CA,2018-01,1169657.0,187.0,2.7,,,,,,
26,Butte County,CA,2018-01,284347.0,442.0,5.9,,,,,,
27,Yolo County,CA,2018-01,448600.0,175.0,5.3,,,,,,
28,El Dorado County,CA,2018-01,455760.0,673.0,4.2,,,,,,
29,Shasta County,CA,2018-01,259536.0,599.0,5.8,,,,,,
30,Imperial County,CA,2018-01,203781.0,223.0,17.8,,,,,,
31,Kings County,CA,2018-01,216209.0,329.0,9.4,,,,,,
32,Madera County,CA,2018-01,261353.0,645.0,8.5,,,,,,
33,Napa County,CA,2018-01,666903.0,211.0,4.0,,,,,,
34,Humboldt County,CA,2018-01,317533.0,350.0,4.2,,,,,,
35,Nevada County,CA,2018-01,458141.0,686.0,3.9,,,,,,
36,Sutter County,CA,2018-01,288127.0,182.0,9.7,,,,,,
37,Mendocino County,CA,2018-01,409838.0,342.0,4.9,,,,,,
38,Yuba County,CA,2018-01,256073.0,247.0,7.7,,,,,,
39,Lake County,CA,2018-01,238221.0,423.0,6.3,,,,,,
40,Tehama County,CA,2018-01,237704.0,323.0,6.5,,,,,,
41,Tuolumne County,CA,2018-01,,356.0,5.6,,,,,,
42,San Benito County,CA,2018-01,563165.0,87.0,6.1,,,,,,
43,Calaveras County,CA,2018-01,313723.0,490.0,4.7,,,,,,
44,Siskiyou County,CA,2018-01,209231.0,227.0,8.9,,,,,,
45,Amador County,CA,2018-01,309466.0,319.0,4.9,,,,,,
46,Lassen County,CA,2018-01,171440.0,142.0,5.9,,,,,,
47,Del Norte County,CA,2018-01,260453.0,118.0,6.9,,,,,,
48,Glenn County,CA,2018-01,236828.0,68.0,7.9,,,,,,
49,Colusa County,CA,2018-01,237427.0,49.0,18.5,,,,,,
50,Plumas County,CA,2018-01,270288.0,221.0,10.9,,,,,,
51,Inyo County,CA,2018-01,352349.0,56.0,4.4,,,,,,
52,Mariposa County,CA,2018-01,289459.0,96.0,6.9,,,,,,
53,Mono County,CA,2018-01,440869.0,173.0,4.0,,,,,,
54,Trinity County,CA,2018-01,280153.0,199.0,6.9,,,,,,
55,Modoc County,CA,2018-01,133237.0,66.0,11.1,,,,,,
56,Sierra County,CA,2018-01,234181.0,36.0,7.5,,,,,,
57,Alpine County,CA,2018-01,401164.0,68.0,4.4,,,,,,
58,Los Angeles County,CA,2018-02,612831.0,10204.0,4.7,,,,,,
59,San Diego County,CA,2018-02,581352.0,4599.0,3.6,,,,,,
60,Orange County,CA,2018-02,726113.0,4135.0,3.1,,,,,,
61,Riverside County,CA,2018-02,370871.0,7831.0,4.7,,,,,,
62,San Bernardino County,CA,2018-02,333335.0,5976.0,4.4,,,,,,
63,Santa Clara County,CA,2018-02,1277549.0,608.0,2.9,,,,,,
64,Alameda County,CA,2018-02,868530.0,776.0,3.3,,,,,,
65,Sacramento County,CA,2018-02,363541.0,1841.0,4.2,,,,,,
66,Contra Costa County,CA,2018-02,686561.0,1065.0,3.5,,,,,,
67,Fresno County,CA,2018-02,248977.0,1368.0,9.2,,,,,,
68,Kern County,CA,2018-02,213093.0,2344.0,9.8,,,,,,
69,Ventura County,CA,2018-02,601659.0,1264.0,4.1,,,,,,
70,San Francisco County,CA,2018-02,1339800.0,477.0,2.6,,,,,,
71,San Mateo County,CA,2018-02,1380091.0,350.0,2.4,,,,,,
72,San Joaquin County,CA,2018-02,350468.0,900.0,7.2,,,,,,
73,Stanislaus County,CA,2018-02,302741.0,707.0,7.5,,,,,,
74,Sonoma County,CA,2018-02,652043.0,456.0,3.1,,,,,,
75,Tulare County,CA,2018-02,211569.0,956.0,11.6,,,,,,
76,Santa Barbara County,CA,2018-02,617910.0,1088.0,5.0,,,,,,
77,Monterey County,CA,2018-02,559644.0,602.0,10.3,,,,,,
78,Solano County,CA,2018-02,429718.0,423.0,4.4,,,,,,
79,Placer County,CA,2018-02,486144.0,947.0,3.5,,,,,,
80,San Luis Obispo County,CA,2018-02,616554.0,855.0,3.3,,,,,,
81,Santa Cruz County,CA,2018-02,851059.0,268.0,6.8,,,,,,
82,Merced County,CA,2018-02,257277.0,648.0,10.8,,,,,,
83,Marin County,CA,2018-02,1172206.0,256.0,2.6,,,,,,
84,Butte County,CA,2018-02,287735.0,454.0,5.9,,,,,,
85,Yolo County,CA,2018-02,452826.0,219.0,5.3,,,,,,
86,El Dorado County,CA,2018-02,458197.0,692.0,4.1,,,,,,
87,Shasta County,CA,2018-02,259550.0,623.0,6.0,,,,,,
88,Imperial County,CA,2018-02,205033.0,230.0,17.4,,,,,,
89,Kings County,CA,2018-02,215601.0,328.0,9.7,,,,,,
90,Madera County,CA,2018-02,263867.0,649.0,8.3,,,,,,
91,Napa County,CA,2018-02,669132.0,201.0,3.4,,,,,,
92,Humboldt County,CA,2018-02,318956.0,367.0,4.1,,,,,,
93,Nevada County,CA,2018-02,460164.0,676.0,3.9,,,,,,
94,Sutter County,CA,2018-02,290753.0,182.0,10.0,,,,,,
95,Mendocino County,CA,2018-02,411276.0,364.0,4.7,,,,,,
96,Yuba County,CA,2018-02,257847.0,241.0,7.6,,,,,,
97,Lake County,CA,2018-02,241717.0,446.0,5.9,,,,,,
98,Tehama County,CA,2018-02,238652.0,330.0,6.6,,,,,,
99,Tuolumne County,CA,2018-02,,342.0,5.7,,,,,,
100,San Benito County,CA,2018-02,561245.0,86.0,6.3,,,,,,
101,Calaveras County,CA,2018-02,314418.0,500.0,4.7,,,,,,
102,Siskiyou County,CA,2018-02,210153.0,226.0,9.4,,,,,,
103,Amador County,CA,2018-02,311475.0,314.0,4.8,,,,,,
104,Lassen County,CA,2018-02,172111.0,142.0,6.4,,,,,,
105,Del Norte County,CA,2018-02,258788.0,104.0,6.4,,,,,,
106,Glenn County,CA,2018-02,237876.0,75.0,7.7,,,,,,
107,Colusa County,CA,2018-02,239063.0,52.0,19.5,,,,,,
108,Plumas County,CA,2018-02,271051.0,229.0,11.6,,,,,,
109,Inyo County,CA,2018-02,352708.0,60.0,4.5,,,,,,
110,Mariposa County,CA,2018-02,290385.0,108.0,7.4,,,,,,
111,Mono County,CA,2018-02,443410.0,178.0,4.1,,,,,,
112,Trinity County,CA,2018-02,282796.0,206.0,8.0,,,,,,
113,Modoc County,CA,2018-02,133889.0,70.0,11.1,,,,,,
114,Sierra County,CA,2018-02,236256.0,42.0,8.6,,,,,,
115,Alpine County,CA,2018-02,401676.0,66.0,3.7,,,,,,
116,Los Angeles County,CA,2018-03,618617.0,10547.0,4.5,,,,,,
117,San Diego County,CA,2018-03,585581.0,5056.0,3.4,,,,,,
118,Orange County,CA,2018-03,729564.0,4627.0,3.0,,,,,,
119,Riverside County,CA,2018-03,374478.0,7835.0,4.5,,,,,,
120,San Bernardino County,CA,2018-03,335643.0,6240.0,4.2,,,,,,
121,Santa Clara County,CA,2018-03,1304436.0,731.0,2.8,,,,,,
122,Alameda County,CA,2018-03,876964.0,921.0,3.2,,,,,,
123,Sacramento County,CA,2018-03,365530.0,1849.0,4.1,,,,,,
124,Contra Costa County,CA,2018-03,690154.0,1196.0,3.4,,,,,,
