,RegionName,State_x,Date,Price,County,State_y,Housing Inventory,State,UnemploymentRate
0,Los Angeles County,CA,2018-01,607070,Los Angeles County,CA,14101,CA,4.9
1,San Diego County,CA,2018-01,574762,San Diego County,CA,4560,CA,3.7
2,Orange County,CA,2018-01,722234,Orange County,CA,5042,CA,3.3
3,Riverside County,CA,2018-01,366823,Riverside County,CA,9560,CA,4.8
4,San Bernardino County,CA,2018-01,330742,San Bernardino County,CA,7370,CA,4.5
5,Santa Clara County,CA,2018-01,1247324,Santa Clara County,CA,1151,CA,3
6,Alameda County,CA,2018-01,857716,Alameda County,CA,676,CA,3.4
7,Sacramento County,CA,2018-01,359702,Sacramento County,CA,3565,CA,4.4
8,Contra Costa County,CA,2018-01,680145,Contra Costa County,CA,1932,CA,3.6
9,Fresno County,CA,2018-01,246716,Fresno County,CA,1707,CA,8.9
10,Kern County,CA,2018-01,212024,Kern County,CA,2673,CA,9.4
11,Ventura County,CA,2018-01,596750,Ventura County,CA,1964,CA,4.4
12,San Francisco County,CA,2018-01,1329100,San Francisco County,CA,649,CA,2.8
13,San Mateo County,CA,2018-01,1369522,San Mateo County,CA,520,CA,2.6
14,San Joaquin County,CA,2018-01,345657,San Joaquin County,CA,1749,CA,7.2
15,Stanislaus County,CA,2018-01,300203,Stanislaus County,CA,1232,CA,7.5
16,Sonoma County,CA,2018-01,641325,Sonoma County,CA,584,CA,3.3
17,Tulare County,CA,2018-01,208616,Tulare County,CA,1434,CA,11.4
18,Santa Barbara County,CA,2018-01,613455,Santa Barbara County,CA,1217,CA,5.3
19,Monterey County,CA,2018-01,554653,Monterey County,CA,891,CA,9.9
20,Solano County,CA,2018-01,426237,Solano County,CA,619,CA,4.6
21,Placer County,CA,2018-01,482725,Placer County,CA,1479,CA,3.6
22,San Luis Obispo County,CA,2018-01,612460,San Luis Obispo County,CA,891,CA,3.5
23,Santa Cruz County,CA,2018-01,843046,Santa Cruz County,CA,412,CA,6.4
24,Merced County,CA,2018-01,254486,Merced County,CA,910,CA,10.3
25,Marin County,CA,2018-01,1169657,Marin County,CA,246,CA,2.7
26,Butte County,CA,2018-01,284347,Butte County,CA,522,CA,5.9
27,Yolo County,CA,2018-01,448600,Yolo County,CA,303,CA,5.3
28,El Dorado County,CA,2018-01,455760,El Dorado County,CA,993,CA,4.2
29,Shasta County,CA,2018-01,259536,Shasta County,CA,602,CA,5.8
30,Imperial County,CA,2018-01,203781,Imperial County,CA,300,CA,17.8
31,Kings County,CA,2018-01,216209,Kings County,CA,408,CA,9.4
32,Madera County,CA,2018-01,261353,Madera County,CA,724,CA,8.5
33,Napa County,CA,2018-01,666903,Napa County,CA,268,CA,4
34,Humboldt County,CA,2018-01,317533,Humboldt County,CA,365,CA,4.2
35,Nevada County,CA,2018-01,458141,Nevada County,CA,924,CA,3.9
36,Sutter County,CA,2018-01,288127,Sutter County,CA,338,CA,9.7
37,Mendocino County,CA,2018-01,409838,Mendocino County,CA,415,CA,4.9
38,Yuba County,CA,2018-01,256073,Yuba County,CA,437,CA,7.7
39,Lake County,CA,2018-01,238221,Lake County,CA,541,CA,6.3
40,Tehama County,CA,2018-01,237704,Tehama County,CA,334,CA,6.5
41,Tuolumne County,CA,2018-01,,Tuolumne County,CA,414,CA,5.6
42,San Benito County,CA,2018-01,563165,,,,CA,6.1
43,Calaveras County,CA,2018-01,313723,,,,CA,4.7
44,Siskiyou County,CA,2018-01,209231,,,,CA,8.9
45,Amador County,CA,2018-01,309466,,,,CA,4.9
46,Lassen County,CA,2018-01,171440,,,,CA,5.9
47,Del Norte County,CA,2018-01,260453,,,,CA,6.9
48,Glenn County,CA,2018-01,236828,,,,CA,7.9
49,Colusa County,CA,2018-01,237427,,,,CA,18.5
50,Plumas County,CA,2018-01,270288,,,,CA,10.9
51,Inyo County,CA,2018-01,352349,,,,CA,4.4
52,Mariposa County,CA,2018-01,289459,,,,CA,6.9
53,Mono County,CA,2018-01,440869,,,,CA,4
54,Trinity County,CA,2018-01,280153,,,,CA,6.9
55,Modoc County,CA,2018-01,133237,,,,CA,11.1
56,Sierra County,CA,2018-01,234181,,,,CA,7.5
57,Alpine County,CA,2018-01,401164,,,,CA,4.4
58,Los Angeles County,CA,2018-02,612831,Los Angeles County,CA,16044,CA,4.7
59,San Diego County,CA,2018-02,581352,San Diego County,CA,4820,CA,3.6
60,Orange County,CA,2018-02,726113,Orange County,CA,5824,CA,3.1
61,Riverside County,CA,2018-02,370871,Riverside County,CA,10299,CA,4.7
62,San Bernardino County,CA,2018-02,333335,San Bernardino County,CA,7748,CA,4.4
63,Santa Clara County,CA,2018-02,1277549,Santa Clara County,CA,1632,CA,2.9
64,Alameda County,CA,2018-02,868530,Alameda County,CA,776,CA,3.3
65,Sacramento County,CA,2018-02,363541,Sacramento County,CA,3809,CA,4.2
66,Contra Costa County,CA,2018-02,686561,Contra Costa County,CA,2255,CA,3.5
67,Fresno County,CA,2018-02,248977,Fresno County,CA,1811,CA,9.2
68,Kern County,CA,2018-02,213093,Kern County,CA,2808,CA,9.8
69,Ventura County,CA,2018-02,601659,Ventura County,CA,2146,CA,4.1
70,San Francisco County,CA,2018-02,1339800,San Francisco County,CA,869,CA,2.6
71,San Mateo County,CA,2018-02,1380091,San Mateo County,CA,767,CA,2.4
72,San Joaquin County,CA,2018-02,350468,San Joaquin County,CA,1861,CA,7.2
73,Stanislaus County,CA,2018-02,302741,Stanislaus County,CA,1350,CA,7.5
74,Sonoma County,CA,2018-02,652043,Sonoma County,CA,674,CA,3.1
75,Tulare County,CA,2018-02,211569,Tulare County,CA,1521,CA,11.6
76,Santa Barbara County,CA,2018-02,617910,Santa Barbara County,CA,1318,CA,5
77,Monterey County,CA,2018-02,559644,Monterey County,CA,949,CA,10.3
78,Solano County,CA,2018-02,429718,Solano County,CA,641,CA,4.4
79,Placer County,CA,2018-02,486144,Placer County,CA,1602,CA,3.5
80,San Luis Obispo County,CA,2018-02,616554,San Luis Obispo County,CA,940,CA,3.3
81,Santa Cruz County,CA,2018-02,851059,Santa Cruz County,CA,442,CA,6.8
82,Merced County,CA,2018-02,257277,Merced County,CA,913,CA,10.8
83,Marin County,CA,2018-02,1172206,Marin County,CA,320,CA,2.6
84,Butte County,CA,2018-02,287735,Butte County,CA,551,CA,5.9
85,Yolo County,CA,2018-02,452826,Yolo County,CA,391,CA,5.3
86,El Dorado County,CA,2018-02,458197,El Dorado County,CA,1071,CA,4.1
87,Shasta County,CA,2018-02,259550,Shasta County,CA,631,CA,6
88,Imperial County,CA,2018-02,205033,Imperial County,CA,313,CA,17.4
89,Kings County,CA,2018-02,215601,Kings County,CA,421,CA,9.7
90,Madera County,CA,2018-02,263867,Madera County,CA,750,CA,8.3
91,Napa County,CA,2018-02,669132,Napa County,CA,263,CA,3.4
92,Humboldt County,CA,2018-02,318956,Humboldt County,CA,381,CA,4.1
93,Nevada County,CA,2018-02,460164,Nevada County,CA,972,CA,3.9
94,Sutter County,CA,2018-02,290753,Sutter County,CA,341,CA,10
95,Mendocino County,CA,2018-02,411276,Mendocino County,CA,429,CA,4.7
96,Yuba County,CA,2018-02,257847,Yuba County,CA,449,CA,7.6
97,Lake County,CA,2018-02,241717,Lake County,CA,576,CA,5.9
98,Tehama County,CA,2018-02,238652,Tehama County,CA,343,CA,6.6
99,Tuolumne County,CA,2018-02,,Tuolumne County,CA,424,CA,5.7
100,San Benito County,CA,2018-02,561245,,,,CA,6.3
101,Calaveras County,CA,2018-02,314418,,,,CA,4.7
102,Siskiyou County,CA,2018-02,210153,,,,CA,9.4
103,Amador County,CA,2018-02,311475,,,,CA,4.8
104,Lassen County,CA,2018-02,172111,,,,CA,6.4
105,Del Norte County,CA,2018-02,258788,,,,CA,6.4
106,Glenn County,CA,2018-02,237876,,,,CA,7.7
107,Colusa County,CA,2018-02,239063,,,,CA,19.5
108,Plumas County,CA,2018-02,271051,,,,CA,11.6
109,Inyo County,CA,2018-02,352708,,,,CA,4.5
110,Mariposa County,CA,2018-02,290385,,,,CA,7.4
111,Mono County,CA,2018-02,443410,,,,CA,4.1
112,Trinity County,CA,2018-02,282796,,,,CA,8
113,Modoc County,CA,2018-02,133889,,,,CA,11.1
114,Sierra County,CA,2018-02,236256,,,,CA,8.6
115,Alpine County,CA,2018-02,401676,,,,CA,3.7
116,Los Angeles County,CA,2018-03,618617,Los Angeles County,CA,17287,CA,4.5
117,San Diego County,CA,2018-03,585581,San Diego County,CA,5294,CA,3.4
118,Orange County,CA,2018-03,729564,Orange County,CA,6435,CA,3
119,Riverside County,CA,2018-03,374478,Riverside County,CA,10610,CA,4.5
120,San Bernardino County,CA,2018-03,335643,San Bernardino County,CA,8335,CA,4.2
121,Santa Clara County,CA,2018-03,1304436,Santa Clara County,CA,2082,CA,2.8
122,Alameda County,CA,2018-03,876964,Alameda County,CA,921,CA,3.2
123,Sacramento County,CA,2018-03,365530,Sacramento County,CA,4128,CA,4.1
124,Contra Costa County,CA,2018-03,690154,Contra Costa County,CA,2697,CA,3.4
125,Fresno County,CA,2018-03,250120,Fresno County,CA,1893,CA,9.3
126,Kern County,CA,2018-03,213961,Kern County,CA,2888,CA,10.3
127,Ventura County,CA,2018-03,605533,Ventura County,CA,2453,CA,3.9
128,San Francisco County,CA,2018-03,1361614,San Francisco County,CA,1016,CA,2.5
129,San Mateo County,CA,2018-03,1399941,San Mateo County,CA,910,CA,2.3
130,San Joaquin County,CA,2018-03,352499,San Joaquin County,CA,1965,CA,7.1
131,Stanislaus County,CA,2018-03,305995,Stanislaus County,CA,1540,CA,7.6
132,Sonoma County,CA,2018-03,660911,Sonoma County,CA,777,CA,3
133,Tulare County,CA,2018-03,214297,Tulare County,CA,1559,CA,12
134,Santa Barbara County,CA,2018-03,621980,Santa Barbara County,CA,1424,CA,4.7
135,Monterey County,CA,2018-03,562714,Monterey County,CA,1042,CA,9.8
136,Solano County,CA,2018-03,431603,Solano County,CA,694,CA,4.3
137,Placer County,CA,2018-03,491860,Placer County,CA,1793,CA,3.4
138,San Luis Obispo County,CA,2018-03,617488,San Luis Obispo County,CA,989,CA,3.2
139,Santa Cruz County,CA,2018-03,861975,Santa Cruz County,CA,553,CA,6.8
140,Merced County,CA,2018-03,259869,Merced County,CA,937,CA,10.9
141,Marin County,CA,2018-03,1171267,Marin County,CA,412,CA,2.5
142,Butte County,CA,2018-03,291350,Butte County,CA,598,CA,5.6
143,Yolo County,CA,2018-03,454643,Yolo County,CA,447,CA,5.1
144,El Dorado County,CA,2018-03,462062,El Dorado County,CA,1152,CA,4.1
145,Shasta County,CA,2018-03,259915,Shasta County,CA,675,CA,6.1
146,Imperial County,CA,2018-03,204336,Imperial County,CA,310,CA,17.5
147,Kings County,CA,2018-03,215707,Kings County,CA,425,CA,9.8
148,Madera County,CA,2018-03,265924,Madera County,CA,803,CA,8.7
149,Napa County,CA,2018-03,674152,Napa County,CA,325,CA,3.3
150,Humboldt County,CA,2018-03,320406,Humboldt County,CA,407,CA,4
151,Nevada County,CA,2018-03,463087,Nevada County,CA,983,CA,3.9
152,Sutter County,CA,2018-03,293680,Sutter County,CA,353,CA,10.2
153,Mendocino County,CA,2018-03,413240,Mendocino County,CA,488,CA,4.7
154,Yuba County,CA,2018-03,260583,Yuba County,CA,445,CA,7.7
155,Lake County,CA,2018-03,245017,Lake County,CA,636,CA,5.9
156,Tehama County,CA,2018-03,236294,Tehama County,CA,375,CA,6.8
157,Tuolumne County,CA,2018-03,,Tuolumne County,CA,535,CA,5.5
158,San Benito County,CA,2018-03,565266,,,,CA,6.3
159,Calaveras County,CA,2018-03,315646,,,,CA,4.7
160,Siskiyou County,CA,2018-03,211219,,,,CA,9.2
161,Amador County,CA,2018-03,313677,,,,CA,4.8
162,Lassen County,CA,2018-03,172813,,,,CA,6.4
163,Del Norte County,CA,2018-03,257731,,,,CA,6.2
164,Glenn County,CA,2018-03,239456,,,,CA,8
165,Colusa County,CA,2018-03,240891,,,,CA,19.3
